symbol,trade_date,exchange,trade_type,quantity,price
GABRIEL,2022-10-07,NSE,buy,1,156.5
DLINKINDIA,2022-10-12,BSE,buy,1,173
RAIN,2022-12-16,BSE,buy,3,178
HINDALCO,2022-12-20,BSE,buy,1,449.8
HINDALCO,2022-12-26,BSE,buy,1,440
NIFTYBEES,2022-12-27,NSE,buy,21,198.01
YESBANK,2023-01-04,NSE,buy,2,21.45
YESBANK,2023-01-04,NSE,sell,2,21.2
ITC,2023-01-06,BSE,sell,6,335
YESBANK,2023-01-06,NSE,buy,1,21.1
YESBANK,2023-01-06,NSE,sell,1,21.05
YESBANK,2023-01-06,NSE,sell,2,21.05
YESBANK,2023-01-06,NSE,buy,2,21.1
RAIN,2023-01-10,BSE,buy,3,175.85
NIFTYBEES,2023-02-14,NSE,sell,11,195.93
NIFTYBEES,2023-02-14,NSE,sell,28,195.93
NIFTYBEES,2023-02-14,NSE,sell,14,195.93
NIFTYBEES,2023-02-14,NSE,sell,1,195.93
RAIN,2023-05-10,NSE,buy,1,149.45
RAIN,2023-08-16,NSE,buy,5,155
DLINKINDIA,2023-08-21,NSE,sell,1,312.6
GABRIEL,2023-08-21,NSE,sell,1,246.9
ZOMATO,2023-08-24,BSE,sell,16,95.25
ITC,2023-08-24,BSE,buy,1,451.5
VEDL,2023-08-29,NSE,buy,1,237.2
HINDALCO,2023-09-04,BSE,sell,1,489.15
ITC,2023-09-04,BSE,buy,1,438
ZOMATO,2023-09-16,NSE,sell,12,102
NIFTYBEES,2023-09-18,NSE,buy,1,222.32
NIFTYBEES,2023-09-18,NSE,buy,1,222.38
ITC,2023-09-21,BSE,buy,2,449
VEDL,2023-09-26,NSE,sell,1,224.65
ZOMATO,2023-09-29,NSE,sell,1,99.5
RAIN,2023-09-29,NSE,buy,5,163.6
VEDL,2023-09-29,NSE,buy,1,214
HINDALCO,2023-10-06,BSE,buy,3,472.95
VEDL,2023-10-18,NSE,sell,1,229.5
GABRIEL,2023-10-19,NSE,buy,1,344.25
ZOMATO,2023-10-19,NSE,buy,1,111.75
VEDL,2023-10-30,NSE,buy,3,216.35
DLINKINDIA,2023-11-07,NSE,buy,2,300.9
GABRIEL,2023-11-15,NSE,sell,1,406.3
